SLP1	RVS	RVV	SVK	SVR	SVJ	YVVM	YVVK	YVM	YVKp	YVK	YVT	AVS	AVP	SB
i^	U0907+0951	U0907+1CE0/U0907+0969+0952	U0907+A8E2			U0907+1CD6/U0907+1CD5	U0907+0951/U0907+0952	U0907+1CD8/U0969+0907+0952	U0907+0951/U0907+0952	U0907+1CD7/U0907+1CD8/U0907+1CD5/{U0907+1CD9}	U0907+0951	U0907+1CE1	U0907+1CD6	
i^~	U0907+0901+0951	U0907+0901+1CE0/U0907+0901+0969+0952	U0907+0901+A8E2			U0907+0901+1CD6/U0907+0901+1CD5	U0907+0901+0951/U0907+0901+0952	U0907+0901+1CD8/U0969+0907+0901+0952	U0907+0901+0951/U0907+0901+0952	U0907+0901+1CD7/U0907+0901+1CD8/U0907+0901+1CD5/U0907+0901+1CD8/{U0907+0901+1CD9}	U0907+0901+0951	U0907+0901+1CE1	U0907+0901+1CD6	
i/8	U0907	U0907+0951	U0907+A8E1/U0907+A8E1+A8EF/U0907+A8E2/U0907+A8E2+A8EB			U0907	U0907	U0907+0951	U0907	U0907+0951	U0907	U0907	U0907+0951	U0907
i/8~	U0907+0901	U0907+0901+0951	U0907+0901+A8E1/U0907+0901+A8E1+A8EF/U0907+0901+A8E2/U0907+0901+A8E2+A8EB			U0907+0901	U0907+0901	U0907+0901+0951	U0907+0901	U0907+0901+0951	U0907+0901	U0907+0901	U0907+0901+0951	U0907+0901
i\7	U0907+0952					U0907+0952	U0907+0952		U0907+0952		U0907+0952	U0907+0952	U0907+1CDD	
i\7~	U0907+0901+0952					U0907+0901+0952	U0907+0901+0952		U0907+0901+0952		U0907+0901+0952	U0907+0901+0952	U0907+0901+1CDD	
i\6		U0907	U0907+A8E3+A8EC					U0907+0952		U0907+1CDC			U0907+1CDC	
i\6~		U0907+0901	U0907+0901+A8E3+A8EC					U0907+0901+0952		U0907+0901+1CDC			U0907+0901+1CDC	
i^98	U0907+0951					U0907+0951/U0907+1CD6	U0907+0951/U0907+0952		U0907+0951/U0907+0952		U0907+0951	U0907+0951		
i^98~	U0907+0901+0951					U0907+0901+0951/U0907+0901+1CD6	U0907+0901+0951/U0907+0901+0952		U0907+0901+0951/U0907+0901+0952		U0907+0901+0951	U0907+0901+0951		
i^97	U0907+0967+0951+0952					U0907+1CD5						U0907+0967+0951+0952		
i^97~	U0907+0901+0967+0951+0952					U0907+0901+1CD5						U0907+0901+0967+0951+0952		
i^87		U0907	U0907+A8E2/U0907+A8E2+A8EF					U0907+1CDB/U0907+1CD4		U0907+1CDD			U0907+1CDD	
i^87~		U0907+0901	U0907+0901+A8E2/U0907+0901+A8E2+A8EF					U0907+0901+1CDB/U0907+0901+1CD4		U0907+0901+1CDD			U0907+0901+1CDD	
i^87+		U0907+1CE0	U0907+A8E2/U0907+A8E2+A8EF					U0907+1CD8		U0907+1CD7/U0907+1CD8			U0907+1CD6	
i^87+~		U0907+0901+1CE0	U0907+0901+A8E2/U0907+0901+A8E2+A8EF					U0907+0901+1CD8		U0907+0901+1CD7/U0907+0901+1CD8			U0907+0901+1CD6	
i^86		U0907+0969+0952	U0907+0969					U0969+0907+0952		U0907+1CD5/{U0907+1CD9}				
i^86~		U0907+0901+0969+0952	U0907+0901+0969					U0969+0907+0901+0952		U0907+0901+1CD5/{U0907+0901+1CD9}				
i1#	U0907	U0907	U0907	U0907	U0907	U0907	U0907	U0907	U0907	U0907	U0907	U0907	U0907	U0907
i1#~	U0907+0901	U0907+0901	U0907+0901	U0907+0901	U0907+0901	U0907+0901	U0907+0901	U0907+0901	U0907+0901	U0907+0901	U0907+0901	U0907+0901	U0907+0901	U0907+0901
i1#/	U0907	U0907+0951	U0907+A8E1			U0907	U0907	U0907+0951	U0907	U0907+0951	U0907	U0907	U0907+0951	U0907
i1#/~	U0907+0901	U0907+0901+0951	U0907+0901+A8E1			U0907+0901	U0907+0901	U0907+0901+0951	U0907+0901	U0907+0901+0951	U0907+0901	U0907+0901	U0907+0901+0951	U0907+0901
i1#\	U0907+0952	U0907	U0907+A8E3			U0907+0952	U0907+0952	U0907+0952	U0907+0952	U0907+1CDC	U0907+0952	U0907+0952	U0907+1CDC	U0907+0952/U0907+1CD8/U0907+1CDE/U0907+1CDF/U0907+1CDF+1CDF
i1#\~	U0907+0901+0952	U0907+0901	U0907+0901+A8E3			U0907+0901+0952	U0907+0901+0952	U0907+0901+0952	U0907+0901+0952	U0907+0901+1CDC	U0907+0901+0952	U0907+0901+0952	U0907+0901+1CDC	U0907+0901+0952/U0907+0901+1CD8
i1#^	U0907+0951	U0907+1CE0/U0907+0969+0952	U0907+A8E2			U0907+1CD6/U0907+1CD5	U0907+0951/U0907+0952	U0907+1CD8/U0969+0907+0952	U0907+0951/U0907+0952	U0907+1CD7/U0907+1CD8/U0907+1CD5/{U0907+1CD9}	U0907+0951	U0907+1CE1	U0907+1CD6	
i1#^~	U0907+0901+0951	U0907+0901+1CE0/U0907+0901+0969+0952	U0907+0901+A8E2			U0907+0901+1CD6/U0907+0901+1CD5	U0907+0901+0951/U0907+0901+0952	U0907+0901+1CD8/U0969+0907+0901+0952	U0907+0901+0951/U0907+0901+0952	U0907+0901+1CD7/U0907+0901+1CD8/U0907+0901+1CD5/{U0907+0901+1CD9}	U0907+0901+0951	U0907+0901+1CE1	U0907+0901+1CD6	
i1#/8	U0907	U0907+0951	U0907+A8E1/U0907+A8E1+A8EF/U0907+A8E2/U0907+A8E2+A8EB			U0907	U0907	U0907+0951	U0907	U0907+0951	U0907	U0907	U0907+0951	U0907
i1#/8~	U0907+0901	U0907+0901+0951	U0907+0901+A8E1/U0907+0901+A8E1+A8EF/U0907+0901+A8E2/U0907+0901+A8E2+A8EB			U0907+0901	U0907+0901	U0907+0901+0951	U0907+0901	U0907+0901+0951	U0907+0901	U0907+0901	U0907+0901+0951	U0907+0901
i1#\7	U0907+0952					U0907+0952	U0907+0952		U0907+0952		U0907+0952	U0907+0952	U0907+1CDD	
i1#\7~	U0907+0901+0952					U0907+0901+0952	U0907+0901+0952		U0907+0901+0952		U0907+0901+0952	U0907+0901+0952	U0907+0901+1CDD	
i1#\6		U0907	U0907+A8E3+A8EC					U0907+0952		U0907+1CDC			U0907+1CDC	
i1#\6~		U0907+0901	U0907+0901+A8E3+A8EC					U0907+0901+0952		U0907+0901+1CDC			U0907+0901+1CDC	
i1#^98	U0907+0951					U0907+0951/U0907+1CD6	U0907+0951/U0907+0952		U0907+0951/U0907+0952		U0907+0951	U0907+0951		
i1#^98~	U0907+0901+0951					U0907+0901+0951/U0907+0901+1CD6	U0907+0901+0951/U0907+0901+0952		U0907+0901+0951/U0907+0901+0952		U0907+0901+0951	U0907+0901+0951		
i1#^97	U0907+0967+0951+0952					U0907+1CD5						U0907+0967+0951+0952		
i1#^97~	U0907+0901+0967+0951+0952					U0907+0901+1CD5						U0907+0901+0967+0951+0952		
i1#^87		U0907	U0907+A8E2/U0907+A8E2+A8EF					U0907+1CDB/U0907+1CD4		U0907+1CDD			U0907+1CDD	
i1#^87~		U0907+0901	U0907+0901+A8E2/U0907+0901+A8E2+A8EF					U0907+0901+1CDB/U0907+0901+1CD4		U0907+0901+1CDD			U0907+0901+1CDD	
i1#^87+		U0907+1CE0	U0907+A8E2/U0907+A8E2+A8EF					U0907+1CD8		U0907+1CD7/U0907+1CD8			U0907+1CD6	
i1#^87+~		U0907+0901+1CE0	U0907+0901+A8E2/U0907+0901+A8E2+A8EF					U0907+0901+1CD8		U0907+0901+1CD7/U0907+0901+1CD8			U0907+0901+1CD6	
i1#^86		U0907+0969+0952	U0907+0969					U0969+0907+0952		U0907+1CD5/{U0907+1CD9}				
i1#^86~		U0907+0901+0969+0952	U0907+0901+0969					U0969+0907+0901+0952		U0907+0901+1CD5/{U0907+0901+1CD9}				
I	U0908	U0908	U0908	U0908	U0908	U0908	U0908	U0908	U0908	U0908	U0908	U0908	U0908	U0908
I~	U0908+0901/U0908+0901+0968[V]/U0908+A8F5[V]/U0908+A8F5+0964[V]	U0908+0901	U0908+0901	U0908+0901	U0908+0901	U0908+0901/U0908+0901+0968[V]/U0908+A8F5[V]/U0908+A8F5+0964[V]	U0908+0901/U0908+0901+0968[V]/U0908+A8F5[V]/U0908+A8F5+0964[V]	U0908+0901	U0908+0901	U0908+0901	U0908+0901	U0908+0901	U0908+0901	U0908+0901
I/	U0908	U0908+0951	U0908+A8E1			U0908	U0908	U0908+0951	U0908	U0908+0951	U0908	U0908	U0908+0951	U0908
I/~	U0908+0901/U0908+0901+0968[V]/U0908+A8F5[V]/U0908+A8F5+0964[V]	U0908+0901+0951	U0908+0901+A8E1			U0908+0901/U0908+0901+0968[V]/U0908+A8F5[V]/U0908+A8F5+0964[V]	U0908+0901/U0908+0901+0968[V]/U0908+A8F5[V]/U0908+A8F5+0964[V]	U0908+0901+0951	U0908+0901	U0908+0901+0951	U0908+0901	U0908+0901	U0908+0901+0951	U0908+0901
I\	U0908+0952	U0908	U0908+A8E3			U0908+0952	U0908+0952	U0908+0952	U0908+0952	U0908+1CDC	U0908+0952	U0908+0952	U0908+1CDC	U0908+0952/U0908+1CD8/U0908+1CDE/U0908+1CDF/U0908+1CDF+1CDF
I\~	U0908+0901+0952/U0908+0901+0952+0968[V]/U0908+0952+A8F5[V]/U0908+0952+A8F5+0964[V]	U0908+0901	U0908+0901+A8E3			U0908+0901+0952/U0908+0901+0952+0968[V]/U0908+0952+A8F5[V]/U0908+0952+A8F5+0964[V]	U0908+0901+0952/U0908+0901+0952+0968[V]/U0908+0952+A8F5[V]/U0908+0952+A8F5+0964[V]	U0908+0901+0952	U0908+0901+0952	U0908+0901+1CDC	U0908+0901+0952	U0908+0901+0952	U0908+0901+1CDC	U0908+0901+0952/U0908+0901+1CD8
I^	U0908+0951	U0908+1CE0/U0908+0969+0952	U0908+A8E2			U0908+1CD6/U0908+1CD5	U0908+0951/U0908+0952	U0908+1CD8/U0969+0908+0952	U0908+0951/U0908+0952	U0908+1CD7/U0908+1CD8/U0908+1CD5/{U0908+1CD9}	U0908+1CDA/{U0908+0951}	U0908+1CE1	U0908+1CD6	
I^~	U0908+0901+0951	U0908+0901+1CE0/U0908+0901+0969+0952	U0908+0901+A8E2			U0908+0901+1CD6/U0908+0901+1CD5	U0908+0901+0951/U0908+0901+0952	U0908+0901+1CD8/U0969+0908+0901+0952	U0908+0901+0951/U0908+0901+0952	U0908+0901+1CD7/U0908+0901+1CD8/U0908+0901+1CD5/{U0908+0901+1CD9}	U0908+0901+1CDA/{U0908+0901+0951}	U0908+0901+1CE1	U0908+0901+1CD6	
I/8	U0908	U0908+0951	U0908+A8E1/U0908+A8E1+A8EF/U0908+A8E2/U0908+A8E2+A8EB			U0908	U0908	U0908+0951	U0908	U0908+0951	U0908	U0908	U0908+0951	U0908
I/8~	U0908+0901/U0908+0901+0968[V]/U0908+A8F5[V]/U0908+A8F5+0964[V]	U0908+0901+0951	U0908+0901+A8E1/U0908+0901+A8E1+A8EF/U0908+0901+A8E2/U0908+0901+A8E2+A8EB			U0908+0901/U0908+0901+0968[V]/U0908+A8F5[V]/U0908+A8F5+0964[V]	U0908+0901/U0908+0901+0968[V]/U0908+A8F5[V]/U0908+A8F5+0964[V]	U0908+0901+0951	U0908+0901	U0908+0901+0951	U0908+0901	U0908+0901	U0908+0901+0951	U0908+0901
I\7	U0908+0952					U0908+0952	U0908+0952		U0908+0952		U0908+0952	U0908+0952	U0908+1CDD	
I\7~	U0908+0901+0952/U0908+0901+0952+0968[V]/U0908+0952+A8F5[V]/U0908+0952+A8F5+0964[V]					U0908+0901+0952/U0908+0901+0952+0968[V]/U0908+0952+A8F5[V]/U0908+0952+A8F5+0964[V]	U0908+0901+0952/U0908+0901+0952+0968[V]/U0908+0952+A8F5[V]/U0908+0952+A8F5+0964[V]		U0908+0901+0952		U0908+0901+0952	U0908+0901+0952	U0908+0901+1CDD	
I\6		U0908	U0908+A8E3+A8EC					U0908+0952		U0908+1CDC			U0908+1CDC	
I\6~		U0908+0901	U0908+0901+A8E3+A8EC					U0908+0901+0952		U0908+0901+1CDC			U0908+0901+1CDC	
I^98	U0908+0951					U0908+0951/U0908+1CD6	U0908+0951/U0908+0952		U0908+0951/U0908+0952		U0908+1CDA/{U0908+0951}	U0908+0951		
I^98~	U0908+0901+0951					U0908+0901+0951/U0908+0901+1CD6	U0908+0901+0951/U0908+0901+0952		U0908+0901+0951/U0908+0901+0952		U0908+0901+1CDA/{U0908+0901+0951}	U0908+0901+0951		
I^97	U0908+0969+0951+0952					U0908+1CD5						U0908+0969+0951+0952		
I^97~	U0908+0901+0969+0951+0952					U0908+0901+1CD5						U0908+0901+0969+0951+0952		
I^87		U0908	U0908+A8E2/U0908+A8E2+A8EF					U0908+1CDB/U0908+1CD4		U0908+1CDD			U0908+1CDD	
I^87~		U0908+0901	U0908+0901+A8E2/U0908+0901+A8E2+A8EF					U0908+0901+1CDB/U0908+0901+1CD4		U0908+0901+1CDD			U0908+0901+1CDD	
I^87+		U0908+1CE0	U0908+A8E2/U0908+A8E2+A8EF					U0908+1CD8		U0908+1CD7/U0908+1CD8			U0908+1CD6	
I^87+~		U0908+0901+1CE0	U0908+0901+A8E2/U0908+0901+A8E2+A8EF					U0908+0901+1CD8		U0908+0901+1CD7/U0908+0901+1CD8			U0908+0901+1CD6	
I^86		U0908+0969+0952	U0908+0969					U0969+0908+0952		U0908+1CD5/{U0908+1CD9}				
I^86~		U0908+0901+0969+0952	U0908+0901+0969					U0969+0908+0901+0952		U0908+0901+1CD5/{U0908+0901+1CD9}				
i3	U0907+0969	U0907+0969	U0907+0969	U0907+0969	U0907+0969	U0907+0969	U0907+0969	U0907+0969	U0907+0969	U0907+0969	U0907+0969	U0907+0969	U0907+0969	U0907+0969
i3~	U0907+0901+0969/U0907+A8F6/{U0907+A8F6+0964}	U0907+0901+0969	U0907+0901+0969	U0907+0901+0969	U0907+0901+0969	U0907+0901+0969/U0907+A8F6/{U0907+A8F6+0964}	U0907+0901+0969/U0907+A8F6/{U0907+A8F6+0964}	U0907+0901+0969	U0907+0901+0969	U0907+0901+0969	U0907+0901+0969	U0907+0901+0969	U0907+0901+0969	U0907+0901+0969
i3/	U0907+0969	U0907+A8E1+0969			U0907+0969	U0907+0969	U0907+0951+0969	U0907+0969	U0907+0951+0969	U0907+0969	U0907+0969	U0907+0951+0969	U0907+0969	
i3/~	U0907+0901+0969/U0907+A8F6/{U0907+A8F6+0964}	U0907+0901+0951+0969	U0907+0901+A8E1+0969			U0907+0901+0969/U0907+A8F6/{U0907+A8F6+0964}	U0907+0901+0969/U0907+A8F6/{U0907+A8F6+0964}	U0907+0901+0951+0969	U0907+0901+0969	U0907+0901+0951+0969	U0907+0901+0969	U0907+0901+0969	U0907+0901+0951+0969	U0907+0901+0969
i3\	U0907+0952+0969	U0907+0969	U0907+A8E3+0969			U0907+0952+0969	U0907+0952+0969	U0907+0952+0969	U0907+0952+0969	U0907+1CDC+0969	U0907+0952+0969	U0907+0952+0969	U0907+1CDC+0969	U0907+0952+0969/U0907+1CD8+0969/U0907+1CDE+0969/U0907+1CDF+0969/U0907+1CDF+1CDF+0969
i3\~	U0907+0901+0952+0969/U0907+0952+A8F6/{U0907+0952+A8F6+0964}	U0907+0901+0969	U0907+0901+A8E3+0969			U0907+0901+0952+0969/U0907+0952+A8F6/{U0907+0952+A8F6+0964}	U0907+0901+0952+0969/U0907+0952+A8F6/{U0907+0952+A8F6+0964}	U0907+0901+0952+0969	U0907+0901+0952+0969	U0907+0901+1CDC+0969	U0907+0901+0952+0969	U0907+0901+0952+0969	U0907+0901+1CDC+0969	U0907+0901+0952+0969/U0907+0901+1CD8+0969
i3^	U0907+0951+0969	U0907+1CE0+0969/U0907+0969+0952	U0907+A8E2+0969			U0907+1CD6+0969/U0907+1CD5+0969	U0907+0951+0969/U0907+0952+0969	U0907+1CD8+0969/U0969+0907+0952+0969	U0907+0951+0969/U0907+0952+0969	U0907+1CD7/U0907+1CD8+0969/U0907+1CD5+0969/{U0907+1CD9+0969}	U0907+1CDA+0969/{U0907+0951+0969}	U0907+1CE1+0969	U0907+1CD6+0969	
i3^~	U0907+0901+0951+0969	U0907+0901+1CE0+0969/U0907+0901+0969+0952	U0907+0901+A8E2+0969			U0907+0901+1CD6+0969/U0907+0901+1CD5+0969	U0907+0901+0951+0969/U0907+0901+0952+0969	U0907+0901+1CD8+0969/U0969+0907+0901+0952+0969	U0907+0901+0951+0969/U0907+0901+0952+0969	U0907+0901+1CD7+0969/U0907+0901+1CD8+0969/U0907+0901+1CD5+0969/{U0907+0901+1CD9+0969}	U0907+0901+1CDA+0969/{U0907+0901+0951+0969}	U0907+0901+1CE1+0969	U0907+0901+1CD6+0969	
i3/8	U0907+0969	U0907+0951+0969	U0907+A8E1+0969/U0907+A8E1+A8EF+0969/U0907+A8E2+0969/U0907+A8E2+A8EB+0969			U0907+0969	U0907+0969	U0907+0951+0969	U0907+0969	U0907+0951+0969	U0907+0969	U0907+0969	U0907+0951+0969	U0907+0969
i3/8~	U0907+0901+0969/U0907+A8F6/{U0907+A8F6+0964}	U0907+0901+0951+0969	U0907+0901+A8E1+0969/U0907+0901+A8E1+A8EF+0969/U0907+0901+A8E2+0969/U0907+0901+A8E2+A8EB+0969			U0907+0901+0969/U0907+A8F6/{U0907+A8F6+0964}	U0907+0901+0969/U0907+A8F6/{U0907+A8F6+0964}	U0907+0901+0951+0969	U0907+0901+0969	U0907+0901+0951+0969	U0907+0901+0969	U0907+0901+0969	U0907+0901+0951+0969	U0907+0901+0969
i3\7	U0907+0952+0969					U0907+0952+0969	U0907+0952+0969		U0907+0952+0969		U0907+0952+0969	U0907+0952+0969	U0907+1CDD+0969	
i3\7~	U0907+0901+0952+0969/U0907+0952+A8F6/{U0907+0952+A8F6+0964}					U0907+0901+0952+0969/U0907+0952+A8F6/{U0907+0952+A8F6+0964}	U0907+0901+0952+0969/U0907+0952+A8F6/{U0907+0952+A8F6+0964}		U0907+0901+0952+0969		U0907+0901+0952+0969	U0907+0901+0952+0969	U0907+0901+1CDD+0969	
i3\6		U0907+0969	U0907+A8E3+A8EC+0969					U0907+0952+0969		U0907+1CDC+0969			U0907+1CDC+0969	
i3\6~		U0907+0901+0969	U0907+0901+A8E3+A8EC+0969					U0907+0901+0952+0969		U0907+0901+1CDC+0969			U0907+0901+1CDC+0969	
i3^98	U0907+0951+0969					U0907+0951+0969/U0907+1CD6+0969	U0907+0951+0969/U0907+0952+0969		U0907+0951+0969/U0907+0952+0969		U0907+1CDA+0969/{U0907+0951+0969}	U0907+0951+0969		
i3^98~	U0907+0901+0951+0969/U0907+0951+A8F6/{U0907+A8F6+0951}/{U0907+0951+A8F6+0964}/{U0907+A8F6+0951+0964}					U0907+0901+0951+0969/U0907+0951+A8F6/{U0907+A8F6+0951}/{U0907+0951+A8F6+0964}/{U0907+A8F6+0951+0964}/U0907+0901+1CD6+0969	U0907+0901+0951+0969/U0907+0951+A8F6/{U0907+A8F6+0951}/{U0907+0951+A8F6+0964}/{U0907+A8F6+0951+0964}/U0907+0901+0952+0969		U0907+0901+0951+0969/U0907+0901+0952+0969		U0907+0901+1CDA+0969/{U0907+0901+0951+0969}	U0907+0901+0951+0969		
i3^97	U0907+0967+0951+0952+0969					U0907+1CD5+0969						U0907+0967+0951+0952+0969		
i3^97~	U0907+0901+0967+0951+0952+0969					U0907+0901+1CD5+0969						U0907+0901+0967+0951+0952+0969		
i3^87		U0907+0969	U0907+A8E2+0969/U0907+A8E2+A8EF+0969					U0907+1CDB+0969/U0907+1CD4+0969		U0907+1CDD+0969			U0907+1CDD+0969	
i3^87~		U0907+0901+0969	U0907+0901+A8E2+0969/U0907+0901+A8E2+A8EF+0969					U0907+0901+1CDB+0969/U0907+0901+1CD4+0969		U0907+0901+1CDD+0969			U0907+0901+1CDD+0969	
i3^87+		U0907+1CE0+0969	U0907+A8E2+0969/U0907+A8E2+A8EF+0969					U0907+1CD8+0969		U0907+1CD7+0969/U0907+1CD8+0969			U0907+1CD6+0969	
i3^87+~		U0907+0901+1CE0+0969	U0907+0901+A8E2+0969/U0907+0901+A8E2+A8EF+0969					U0907+0901+1CD8+0969		U0907+0901+1CD7+0969/U0907+0901+1CD8+0969			U0907+0901+1CD6+0969	
i3^86		U0907+0969+0952	U0907+0969					U0969+0907+0952+0969		U0907+1CD5+0969/{U0907+1CD9+0969}				
i3^86~		U0907+0901+0969+0952	U0907+0901+0969					U0969+0907+0901+0952+0969		U0907+0901+1CD5+0969/{U0907+0901+1CD9+0969}				
i4~	U0907+0901+096A	U0907+0901+096A	U0907+0901+096A	U0907+0901+096A	U0907+0901+096A	U0907+0901+096A	U0907+0901+096A	U0907+0901+096A	U0907+0901+096A	U0907+0901+096A	U0907+0901+096A	U0907+0901+096A	U0907+0901+096A	U0907+0901+096A
i4/~	U0907+0901+096A	U0907+0901+0951+096A	U0907+0901+A8E1+096A			U0907+0901+096A	U0907+0901+096A	U0907+0901+0951+096A	U0907+0901+096A	U0907+0901+0951+096A	U0907+0901+096A	U0907+0901+096A	U0907+0901+0951+096A	U0907+0901+096A
i4\~	U0907+0901+0952+096A	U0907+0901+096A	U0907+0901+A8E3+096A			U0907+0901+0952+096A	U0907+0901+0952+096A	U0907+0901+0952+096A	U0907+0901+0952+096A	U0907+0901+1CDC+096A	U0907+0901+0952+096A	U0907+0901+0952+096A	U0907+0901+1CDC+096A	U0907+0901+0952+096A/U0907+0901+1CD8+096A
i4^~	U0907+0901+0951+096A	U0907+0901+1CE0+096A/U0907+0901+0969+0952	U0907+0901+A8E2+096A			U0907+0901+1CD6+096A/U0907+0901+1CD5+096A	U0907+0901+0951+096A/U0907+0901+0952+096A	U0907+0901+1CD8+096A/U0969+0907+0901+0952+096A	U0907+0901+0951+096A/U0907+0901+0952+096A	U0907+0901+1CD7+096A/U0907+0901+1CD8+096A/U0907+0901+1CD5+096A	U0907+0901+1CDA+096A/{U0907+0901+0951+096A}	U0907+0901+1CE1+096A	U0907+0901+1CD6+096A	
i4/8~	U0907+0901+096A	U0907+0901+0951+096A	U0907+0901+A8E1+096A/U0907+0901+A8E1+A8EF+096A/U0907+0901+A8E2+096A/U0907+0901+A8E2+A8EB+096A			U0907+0901+096A	U0907+0901+096A	U0907+0901+0951+096A	U0907+0901+096A	U0907+0901+0951+096A	U0907+0901+096A	U0907+0901+096A	U0907+0901+0951+096A	U0907+0901+096A
i4\7~	U0907+0901+0952+096A					U0907+0901+0952+096A	U0907+0901+0952+096A		U0907+0901+0952+096A		U0907+0901+0952+096A	U0907+0901+0952+096A	U0907+0901+1CDD+096A	
i4\6~		U0907+0901+096A	U0907+0901+A8E3+A8EC+096A					U0907+0901+0952+096A		U0907+0901+1CDC+096A			U0907+0901+1CDC+096A	
i4^98~	U0907+0901+0951+096A					U0907+0901+0951+096A/U0907+0901+1CD6+096A	U0907+0901+0951+096A/U0907+0901+0952+096A		U0907+0901+0951+096A/U0907+0901+0952+096A		U0907+0901+1CDA+096A/{U0907+0901+0951+096A}	U0907+0901+0951+096A		
i4^97~	U0907+0901+0967+0951+0952+096A					U0907+0901+1CD5+096A						U0907+0901+0967+0951+0952+096A		
i4^87~		U0907+0901+096A	U0907+0901+A8E2+096A/U0907+0901+A8E2+A8EF+096A					U0907+0901+1CDB+096A/U0907+0901+1CD4+096A		U0907+0901+1CDD+096A			U0907+0901+1CDD+096A	
i4^87+~		U0907+0901+1CE0+096A	U0907+0901+A8E2+096A/U0907+0901+A8E2+A8EF+096A					U0907+0901+1CD8+096A		U0907+0901+1CD7+096A/U0907+0901+1CD8+096A			U0907+0901+1CD6+096A	
i4^86~		U0907+0901+0969+0952	U0907+0901+096A					U0969+0907+0901+0952+096A		U0907+0901+1CD5+096A/{U0907+0901+1CD9+096A}				
i*	U0907													
u	U0909	U0909	U0909	U0909	U0909	U0909	U0909	U0909	U0909	U0909	U0909	U0909	U0909	U0909
u~	U0909+0901	U0909+0901	U0909+0901	U0909+0901	U0909+0901	U0909+0901	U0909+0901	U0909+0901	U0909+0901	U0909+0901	U0909+0901	U0909+0901	U0909+0901	U0909+0901
u/	U0909	U0909+0951	U0909+A8E1			U0909	U0909	U0909+0951	U0909	U0909+0951	U0909	U0909	U0909+0951	U0909
u/~	U0909+0901	U0909+0901+0951	U0909+0901+A8E1			U0909+0901	U0909+0901	U0909+0901+0951	U0909+0901	U0909+0901+0951	U0909+0901	U0909+0901	U0909+0901+0951	U0909+0901
u\	U0909+0952	U0909	U0909+A8E3			U0909+0952	U0909+0952	U0909+0952	U0909+0952	U0909+1CDC	U0909+0952	U0909+0952	U0909+1CDC	U0909+0952/U0909+1CD8/U0909+1CDE/U0909+1CDF/U0909+1CDF+1CDF
u\~	U0909+0901+0952	U0909+0901	U0909+0901+A8E3			U0909+0901+0952	U0909+0901+0952	U0909+0901+0952	U0909+0901+0952	U0909+0901+1CDC	U0909+0901+0952	U0909+0901+0952	U0909+0901+1CDC	U0909+0901+0952/U0909+0901+1CD8
u^	U0909+0951	U0909+1CE0/U0909+0969+0952	U0909+A8E2			U0909+1CD6/U0909+1CD5	U0909+0951/U0909+0952	U0909+1CD8/U0969+0909+0952	U0909+0951/U0909+0952	U0909+1CD7/U0909+1CD8/U0909+1CD5/{U0909+1CD9}	U0909+0951	U0909+1CE1	U0909+1CD6	
u^~	U0909+0901+0951	U0909+0901+1CE0/U0909+0901+0969+0952	U0909+0901+A8E2			U0909+0901+1CD6/U0909+0901+1CD5	U0909+0901+0951/U0909+0901+0952	U0909+0901+1CD8/U0969+0909+0901+0952	U0909+0901+0951/U0909+0901+0952	U0909+0901+1CD7/U0909+0901+1CD8/U0909+0901+1CD5/{U0909+0901+1CD9}	U0909+0901+0951	U0909+0901+1CE1	U0909+0901+1CD6	
u/8	U0909	U0909+0951	U0909+A8E1/U0909+A8E1+A8EF/U0909+A8E2/U0909+A8E2+A8EB			U0909	U0909	U0909+0951	U0909	U0909+0951	U0909	U0909	U0909+0951	U0909
u/8~	U0909+0901	U0909+0901+0951	U0909+0901+A8E1/U0909+0901+A8E1+A8EF/U0909+0901+A8E2/U0909+0901+A8E2+A8EB			U0909+0901	U0909+0901	U0909+0901+0951	U0909+0901	U0909+0901+0951	U0909+0901	U0909+0901	U0909+0901+0951	U0909+0901
u\7	U0909+0952					U0909+0952	U0909+0952		U0909+0952		U0909+0952	U0909+0952	U0909+1CDD	
u\7~	U0909+0901+0952					U0909+0901+0952	U0909+0901+0952		U0909+0901+0952		U0909+0901+0952	U0909+0901+0952	U0909+0901+1CDD	
u\6		U0909	U0909+A8E3+A8EC					U0909+0952		U0909+1CDC			U0909+1CDC	
u\6~		U0909+0901	U0909+0901+A8E3+A8EC					U0909+0901+0952		U0909+0901+1CDC			U0909+0901+1CDC	
u^98	U0909+0951					U0909+0951/U0909+1CD6	U0909+0951/U0909+0952		U0909+0951/U0909+0952		U0909+0951	U0909+0951		
u^98~	U0909+0901+0951					U0909+0901+0951/U0909+0901+1CD6	U0909+0901+0951/U0909+0901+0952		U0909+0901+0951/U0909+0901+0952		U0909+0901+0951	U0909+0901+0951		
u^97	U0909+0967+0951+0952					U0909+1CD5						U0909+0967+0951+0952		
u^97~	U0909+0901+0967+0951+0952					U0909+0901+1CD5						U0909+0901+0967+0951+0952		
u^87		U0909	U0909+A8E2/U0909+A8E2+A8EF					U0909+1CDB/U0909+1CD4		U0909+1CDD			U0909+1CDD	
u^87~		U0909+0901	U0909+0901+A8E2/U0909+0901+A8E2+A8EF					U0909+0901+1CDB/U0909+0901+1CD4		U0909+0901+1CDD			U0909+0901+1CDD	
u^87+		U0909+1CE0	U0909+A8E2/U0909+A8E2+A8EF					U0909+1CD8		U0909+1CD7/U0909+1CD8			U0909+1CD6	
